participant_id,gaming_hours_daily,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,gaming_addiction_score,social_gaming_score,age,gaming_genre_preference
S0001,1.7763659884564966,4.478663538537218,2.2128540627610964,2.2904901004452536,3.161993127649512,2.812559916480847,5.0,4.0361027934303735,21,Action
S0002,7.549264394319727,4.8953457789992285,3.237395905214168,2.092386768313704,4.472872076458475,1.8924214169890223,1.0,2.2341698197580495,24,Puzzle
S0003,7.187173795002464,3.3952709909917482,3.737422339841236,4.2153889984820125,3.6824391109687618,1.6147996084550544,3.3464340550928138,5.0,16,RPG
S0004,0.9768315875898849,3.5695511447410486,4.337048274115805,2.5449261962209064,4.080882387641266,1.0,3.3036450204764494,4.250746778864508,21,Strategy
S0005,1.0749771706119369,2.570452832160657,3.4868652407360314,4.428452969402343,4.079709594072879,4.263758552020595,3.3944690470324854,4.0384589874568855,26,Puzzle
S0006,0.9043405087132043,4.578990263806728,2.9405817415834794,2.4851906377230955,3.0484619243187634,2.615523687094037,2.387196746372188,4.651510250538129,38,Sports
S0007,11.035844699231289,4.93609767685403,2.698871657199165,4.164317983793283,3.2511215429658935,3.744055648474927,1.3515675801717877,4.549569709144154,38,Sports
S0008,3.1941198845466494,3.5833425942477515,3.591064651780819,3.5683194485820273,4.672923892296719,5.0,2.8434562339194493,4.869614172050805,17,Strategy
S0009,2.8961273919896477,2.288990432773978,3.0778335603189384,1.5542483950818362,3.7175164849745506,4.527442223278277,1.8499022530790499,4.10098390574554,25,Puzzle
S0010,4.431907798576295,3.6770922005478397,2.973770904438178,3.4606614293409814,3.696150990001769,2.7651464086785396,1.3161275123300396,3.1170674701928527,13,Action
S0011,1.5305351019485938,3.528251254081078,3.7180277903787315,3.1930444757553493,3.1227804053553023,2.720680355162288,4.219489442927911,3.113518475238034,26,RPG
S0012,2.6479214511289317,3.7696026982206883,2.726743491746078,2.259304595018129,2.089587296811456,1.8415205764942062,1.494717496013701,4.693571202735901,29,Action
S0013,1.31207990349731,3.6237892462794914,3.0025736603730397,3.9255145129112465,3.482941055098806,3.9484140027265475,4.237577078569943,5.0,41,RPG
S0014,4.589688443271118,2.805894462514112,4.6816385031789425,4.016303762565682,5.0,3.8997790966058363,1.254596950609986,2.5347841682566097,21,RPG
S0015,1.5431790589107224,3.083011970686706,3.951350319577598,3.5035182130488254,4.057119921675344,1.0469819397443254,2.2052870199097163,3.272200823646326,26,Puzzle
S0016,3.867464954343605,2.9928199235366284,3.9687432693824904,2.957098167612365,3.5638866956150936,1.0,1.86960785977198,4.866374578540603,23,Strategy
S0017,6.311839650265876,2.7402763590071038,4.947232878469921,4.881983745128976,4.751915129820572,3.261184244521869,4.154702053718483,5.0,39,Strategy
S0018,2.767635858554876,3.2533109023769224,3.6497869473695292,3.4707314406590646,4.440299621373688,1.0,3.357123136501907,1.9594064174165933,20,Strategy
S0019,5.354650284290984,3.9699516848725245,2.106195298744697,4.141142463953214,3.2418115869849276,1.486371301492681,3.9659599307310893,2.6829125503355664,13,Strategy
S0020,1.2880513742542214,2.4472154683218124,2.8029611966277757,3.4876662647945107,4.5026028272889125,3.154321598864495,1.9889516101880849,2.4635379215774478,13,Puzzle
S0021,1.3055801071948654,3.454124219419777,3.0049263377770403,4.881052216699439,4.514383743519623,4.394009915647413,2.8258434784896127,1.0,26,RPG
S0022,3.504017876219562,3.6941227380949484,2.3247553206675464,3.2124361139431907,2.3702579737057015,3.1393305493347525,3.966250329361749,4.032882179492115,25,Strategy
S0023,2.5881843556919857,3.1231004093354944,3.9037445954552803,3.5535075884163296,4.418633479044795,3.5324127895938346,2.086280773135594,2.344472142626314,17,Sports
S0024,1.1184576070454173,3.0229339597350706,3.469421116223654,5.0,4.018207909827281,2.9111004846758823,2.994486993540302,2.399332728890082,19,Puzzle
S0025,2.142371277390594,4.319737668864988,3.7353464664259137,3.651001908140184,4.7165686207171005,2.323057611187622,2.516308746305568,3.9265430766685827,37,Puzzle
S0026,6.967339591139526,3.757711113105322,4.168751833796247,4.0235523067486065,3.9503791362272955,4.14503590540525,2.55710429733279,1.823671927859191,41,Action
S0027,1.8329705043182696,2.7820444434533886,3.0066491700116056,3.2554327425588054,2.5283237342291933,1.9427140679576647,3.5453231138841717,2.899346719027764,33,Puzzle
S0028,3.057589768673297,3.583306700856947,3.5790595306829602,2.0496022255994077,4.624256495678734,1.7122765734193672,4.265358697928883,1.7070441643156402,22,Sports
S0029,2.2846441784676865,3.78810303155639,3.423838367002288,1.0909098678259144,4.470987026747015,4.136381618917883,3.889793380651679,3.871180596478464,24,RPG
S0030,3.4390572770673598,3.347158399368898,3.0351533307080767,4.8116304508256595,3.5367728664902427,3.467039495912002,4.0969401839501405,4.19755457404916,24,Sports
S0031,3.8362819384855045,4.137228536869177,2.677226678184941,3.288974485298185,3.6036392739929295,1.966075615570047,1.8250157183291895,2.441131222169418,22,Puzzle
S0032,4.544109902826611,3.86451775492433,4.146123535457287,4.487358020245604,4.281205517023844,3.8167104389620894,1.0248402233818514,3.3868873314793193,33,Strategy
S0033,4.324458407240418,3.780028366389002,3.135261366365683,2.7076385544327057,2.9005402747772666,1.0,1.7164695011008613,1.5455659468744445,15,Strategy
S0034,5.3529920827690045,2.8672901429830993,3.1893398759454565,4.562684045603785,3.856885270114539,3.574864372426374,3.0238188849550713,3.035031942911526,20,RPG
S0035,4.0484838582289635,4.759663336955969,2.9792408169299365,2.1894190676022585,5.0,1.7230772554279021,2.175659994414978,3.0836778425784805,27,Sports
S0036,3.4450830723820682,3.1575528467458356,5.0,2.5232628445754943,4.437569832436733,4.056676989073695,2.4125343787615567,2.60689826142605,18,Puzzle
S0037,2.0961901342437512,3.0248508378528034,2.442611450974642,3.4489121517403833,2.9244236316619845,2.719952610812747,3.536678334190489,2.9985475587645753,31,Action
S0038,0.3493845256264385,4.404458506366256,3.8091269103711944,3.708906281111038,3.6690507195808837,3.551304554332666,2.5676384899896525,4.307810907410076,13,Puzzle
S0039,2.2782068192928135,3.5062927335066405,2.5254768784265047,3.8014369571717164,3.8900110419217317,2.5762073993485606,2.250314780820305,1.7243677988212018,42,RPG
S0040,1.7215422933504414,2.3400152929005884,3.2455852578114497,3.421774966238239,3.5581842241050943,1.0,3.792431214060064,1.0,22,RPG
S0041,1.8363115031570263,4.065414690903266,2.622868248769165,2.9224015100844167,2.7677583435004847,3.340076445504841,2.5923340244409827,2.158616689460042,14,RPG
S0042,0.8903195160134018,2.7672420260553303,4.357119519024309,3.6979588882691523,3.699795300541366,5.0,2.4145080183817704,2.989115199329698,14,RPG
S0043,5.081293121077986,2.8061617090646753,1.7303409092279496,2.1497285141196776,3.959730648583135,5.0,3.562157767357302,3.664795984128534,26,RPG
S0044,0.8148369874730097,3.550182518557901,3.232583845658288,3.1718164807963998,2.6362968136416405,1.1452661586592956,1.3361865049007569,1.5437110315041673,38,Puzzle
S0045,4.026742309247129,3.55625901715607,4.46172002082255,3.1300238094028754,3.9474729938177435,2.8952740161179924,2.2506944307442573,2.84131687209369,22,Strategy
S0046,2.5478919066487116,3.875081130909752,4.27507108172893,4.711755308682759,3.7568908123560014,2.8625575071865623,2.5791766952000614,4.584089897876187,13,Puzzle
S0047,4.065249106490709,2.9363198051090604,2.6882218978329973,3.144277614150425,2.9982488462709185,4.275906974792098,3.7370665679068606,4.212659945950949,30,Puzzle
S0048,5.524564116076609,3.1453086894179783,3.1649184518589712,2.2467315919226376,3.845301375094909,2.3695347658262667,2.5037064593228764,3.755013516597362,30,Strategy
S0049,12.256244115462428,3.5796212983914866,2.866612613023869,3.50322787300604,3.5383962599854017,2.6582741191326,1.0,1.7460773300347807,16,Strategy
S0050,7.847850207919536,4.049527613115311,1.7188842921014624,4.552948796117803,3.9935673391288997,1.5811166568076547,1.0,3.9999832859735185,26,Strategy
S0051,6.302954682310044,3.401776722297251,3.3580668120784143,2.5314340727375755,3.4638096101435774,2.22432954137716,3.7308374009625247,3.116281973776194,15,Strategy
S0052,8.262575104268926,4.480945556860294,3.10336150063506,3.414383721069925,3.3257479568190704,3.3702048899685826,3.1844995987215494,3.0398564786067443,19,Sports
S0053,3.108611934689113,3.101855382849997,1.4900668944681041,2.193217155665841,3.7962238479609196,3.2908323987802306,1.5645512222281268,2.821621282628147,33,RPG
S0054,3.2002555442756475,4.022575113688633,3.328756862414564,1.9628200630409132,4.0963269675583085,2.6357169796529702,1.0271123053697278,2.471249001515831,21,RPG
S0055,2.1464605528116483,3.7051096070926475,1.999516256699017,2.3659589573375484,2.4851724159767152,2.8433714521378923,3.311304425746348,3.1348088786495727,16,Puzzle
S0056,3.7078934603564013,3.7242573567369277,1.934135157119987,4.57867475496823,3.7060313396418723,3.683876659743824,4.591949418545033,4.99069843009345,28,RPG
