participant_id,gaming_hours_daily,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,gaming_addiction_score,social_gaming_score,age
S0001,1.7763659884564966,4.478663538537218,2.2128540627610964,2.2904901004452536,3.161993127649512,2.812559916480847,5.0,4.0361027934303735,21
S0002,7.549264394319727,4.8953457789992285,3.237395905214168,2.092386768313704,4.472872076458475,1.8924214169890223,1.0,2.234169819758049,24
S0003,7.187173795002464,3.395270990991748,3.737422339841236,4.2153889984820125,3.6824391109687618,1.6147996084550544,3.3464340550928138,5.0,16
S0004,0.9768315875898848,3.5695511447410486,4.337048274115805,2.5449261962209064,4.080882387641266,1.0,3.3036450204764494,4.250746778864508,21
S0005,1.0749771706119369,2.570452832160657,3.4868652407360314,4.428452969402343,4.079709594072879,4.263758552020595,3.3944690470324854,4.0384589874568855,26
S0006,0.9043405087132044,4.578990263806728,2.9405817415834794,2.4851906377230955,3.0484619243187634,2.615523687094037,2.387196746372188,4.651510250538129,38
S0007,11.035844699231289,4.93609767685403,2.698871657199165,4.164317983793283,3.251121542965893,3.744055648474927,1.3515675801717877,4.549569709144154,38
S0008,3.1941198845466494,3.5833425942477515,3.591064651780819,3.5683194485820278,4.672923892296719,5.0,2.8434562339194493,4.869614172050805,17
S0009,2.896127391989648,2.288990432773978,3.0778335603189384,1.5542483950818362,3.717516484974551,4.527442223278277,1.8499022530790497,4.10098390574554,25
S0010,4.431907798576295,3.67709220054784,2.973770904438178,3.4606614293409814,3.696150990001769,2.76514640867854,1.3161275123300396,3.1170674701928527,13
S0011,1.5305351019485938,3.528251254081078,3.718027790378732,3.1930444757553493,3.1227804053553023,2.720680355162288,4.219489442927911,3.113518475238034,26
S0012,2.647921451128932,3.769602698220688,2.726743491746078,2.259304595018129,2.089587296811456,1.8415205764942064,1.494717496013701,4.693571202735901,29
S0013,1.31207990349731,3.6237892462794914,3.00257366037304,3.925514512911247,3.482941055098806,3.948414002726548,4.237577078569943,5.0,41
S0014,4.589688443271118,2.805894462514112,4.681638503178943,4.016303762565682,5.0,3.899779096605836,1.254596950609986,2.5347841682566097,21
