participant_id,gaming_hours_daily,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,gaming_addiction_score,social_gaming_score,age,gender,aggression_score,gaming_hours_played,gaming_wellbeing_score,gaming_stress_level,gaming_social_connection_score,gaming_achievement_satisfaction
S0001,1.7763659884564966,4.478663538537218,2.2128540627610964,2.2904901004452536,3.161993127649512,2.812559916480847,5.0,4.0361027934303735,21,male,15,19.262306705133163,6.280238198242557,1.7651023510901285,4.317847759309645,4.446036621181789
S0002,7.549264394319727,4.8953457789992285,3.237395905214168,2.092386768313704,4.472872076458475,1.8924214169890223,1.0,2.234169819758049,24,male,42,66.42457587532117,10.0,5.154911023661333,6.7505420404182415,5.263715147342244
S0003,7.187173795002464,3.395270990991748,3.737422339841236,4.2153889984820125,3.6824391109687618,1.6147996084550544,3.3464340550928138,5.0,16,male,19,169.76610460930434,5.29907167816823,6.113064887676602,4.383796662213684,3.8210436131243
S0004,0.9768315875898848,3.5695511447410486,4.337048274115805,2.5449261962209064,4.080882387641266,1.0,3.3036450204764494,4.250746778864508,21,female,23,289.3218905187466,6.444346880106869,2.6235378856680365,7.755479706658471,10.0
S0005,1.0749771706119369,2.570452832160657,3.4868652407360314,4.428452969402343,4.079709594072879,4.263758552020595,3.3944690470324854,4.0384589874568855,26,male,26,62.69197419409056,1.3160706153014887,4.026853215604487,5.283434081768397,6.848515030713966
S0006,0.9043405087132044,4.578990263806728,2.9405817415834794,2.4851906377230955,3.0484619243187634,2.615523687094037,2.387196746372188,4.651510250538129,38,male,25,1.3868606224369302,3.747377841616663,6.897291652393809,4.4011677935831095,6.585146797425736
S0007,11.035844699231289,4.93609767685403,2.698871657199165,4.164317983793283,3.251121542965893,3.744055648474927,1.3515675801717877,4.549569709144154,38,male,25,42.42059791298653,7.550792838993295,2.9699797880761496,5.881017288090369,6.982829951678589
S0008,3.1941198845466494,3.5833425942477515,3.591064651780819,3.5683194485820278,4.672923892296719,5.0,2.8434562339194493,4.869614172050805,17,male,17,18.19557393328765,5.879708108466982,2.955554262390806,3.765365847544429,5.425939276692625
S0009,2.896127391989648,2.288990432773978,3.0778335603189384,1.5542483950818362,3.717516484974551,4.527442223278277,1.8499022530790497,4.10098390574554,25,male,14,832.2018284503938,6.135372341100836,4.682548737096774,4.81299193745352,6.439378145033626
S0010,4.431907798576295,3.67709220054784,2.973770904438178,3.4606614293409814,3.696150990001769,2.76514640867854,1.3161275123300396,3.1170674701928527,13,male,6,664.3343387686037,5.9501405334770325,4.742852549534704,7.409350962609515,7.667631807755461
S0011,1.5305351019485938,3.528251254081078,3.718027790378732,3.1930444757553493,3.1227804053553023,2.720680355162288,4.219489442927911,3.113518475238034,26,male,25,17.906096092568376,5.198303450692108,3.977704810443822,5.93282044484086,2.0040440751186237
S0012,2.647921451128932,3.769602698220688,2.726743491746078,2.259304595018129,2.089587296811456,1.8415205764942064,1.494717496013701,4.693571202735901,29,male,20,38.29251389051933,2.3362487360272413,6.35075099522577,3.925647904024261,6.134691014956999
S0013,1.31207990349731,3.6237892462794914,3.00257366037304,3.925514512911247,3.482941055098806,3.948414002726548,4.237577078569943,5.0,41,male,21,69.93011719191226,7.989181824776548,4.274935068185214,4.922663614098857,4.154239382229423
S0014,4.589688443271118,2.805894462514112,4.681638503178943,4.016303762565682,5.0,3.899779096605836,1.254596950609986,2.5347841682566097,21,male,20,149.34950252065536,6.93441762925815,2.1246795065358395,3.896368753697052,6.442950994332588
S0015,1.5431790589107224,3.083011970686706,3.951350319577598,3.5035182130488254,4.057119921675344,1.0469819397443254,2.2052870199097163,3.272200823646326,26,male,29,25.476283279255117,3.679910315928191,7.420204313847591,7.746801580486805,5.803785556819406
S0016,3.867464954343605,2.9928199235366284,3.9687432693824896,2.957098167612365,3.5638866956150936,1.0,1.86960785977198,4.866374578540603,23,female,23,73.80079704454084,6.650499195572571,4.00749287121932,7.148189781122463,8.855784149759318
