participant_id,age,gaming_hours_weekly,gaming_preference,data_source,game_title
A0001,19.0,18.1264341369719,Strategy,anxiety,
A0002,23.0,10.906823025723863,Casual,anxiety,
A0003,18.0,20.453434824859045,Strategy,anxiety,
A0004,22.0,41.19940790961727,Strategy,anxiety,
A0005,13.0,10.101433053034366,Action,anxiety,
A0006,26.0,10.101565728342864,RPG,anxiety,
A0007,25.0,43.09341720602296,RPG,anxiety,
A0008,18.0,22.50973277195319,Strategy,anxiety,
A0009,30.0,8.368046726452274,Action,anxiety,
A0010,32.0,18.803594246154063,Casual,anxiety,
A0011,13.0,8.408691268385546,RPG,anxiety,
A0012,18.0,8.39315251934356,Strategy,anxiety,
A0013,18.0,14.78435929035991,RPG,anxiety,
A0014,17.0,2.636298379488024,RPG,anxiety,
A0015,31.0,3.0650556750089435,Casual,anxiety,
A0016,23.0,7.769221580003696,Action,anxiety,
A0017,22.0,5.418045295046198,Casual,anxiety,
A0018,13.0,15.664513478848187,Action,anxiety,
A0019,30.0,5.891913040511478,RPG,anxiety,
A0020,15.0,3.935968747267644,Strategy,anxiety,
A0021,25.0,39.35090664521989,Casual,anxiety,
A0022,27.0,10.169356763269302,Action,anxiety,
A0023,35.0,12.85872492915544,RPG,anxiety,
A0024,14.0,3.896978273009933,Action,anxiety,
A0025,13.0,7.881307530566777,Action,anxiety,
A0026,26.0,13.312960997202168,Action,anxiety,
A0027,39.0,4.851098324940789,RPG,anxiety,
A0028,34.0,16.453832267623852,Strategy,anxiety,
A0029,26.0,7.534474195804834,Strategy,anxiety,
A0030,21.0,9.646980840854775,Strategy,anxiety,
A0031,31.0,7.528039958228713,Action,anxiety,
A0032,17.0,53.61466050741208,RPG,anxiety,
A0033,28.0,12.051657715304788,Action,anxiety,
A0034,29.0,5.226967368487052,Strategy,anxiety,
A0035,33.0,23.524347054127876,Strategy,anxiety,
A0036,47.0,4.587453513457971,RPG,anxiety,
A0037,28.0,14.398022575458173,Action,anxiety,
A0038,20.0,2.540253555113673,Casual,anxiety,
A0039,24.0,4.209951640794872,Casual,anxiety,
A0040,13.0,14.260435987757312,Strategy,anxiety,
A0041,19.0,21.994078631056794,RPG,anxiety,
A0042,21.0,13.972549082548117,Action,anxiety,
A0043,20.0,11.105954146419192,Action,anxiety,
A0044,26.0,9.574631450615366,Strategy,anxiety,
A0045,18.0,3.7328887872755367,Strategy,anxiety,
A0046,33.0,6.849150522595933,Action,anxiety,
A0047,25.0,8.42740573983373,Action,anxiety,
A0048,24.0,28.38037204276163,Strategy,anxiety,
A0049,22.0,16.036937121100568,Action,anxiety,
A0050,26.0,2.972989094145825,Casual,anxiety,
A0051,31.0,15.788268677974273,Strategy,anxiety,
A0052,18.0,8.952512110739772,Action,anxiety,
A0053,19.0,7.088419525989992,Strategy,anxiety,
A0054,22.0,19.87258276133614,RPG,anxiety,
A0055,14.0,27.79342878170219,Strategy,anxiety,
A0056,18.0,25.66232839409943,Strategy,anxiety,
A0057,21.0,6.225327064309462,RPG,anxiety,
A0058,31.0,9.512722368047314,Casual,anxiety,
A0059,27.0,15.879210613765952,Action,anxiety,
A0060,26.0,26.587364966991007,RPG,anxiety,
A0061,31.0,8.303362968960924,Strategy,anxiety,
A0062,23.0,10.501024445779844,Action,anxiety,
A0063,28.0,5.02754614326288,RPG,anxiety,
A0064,24.0,4.678767407316899,Action,anxiety,
A0065,27.0,23.33654666036898,Action,anxiety,
A0066,20.0,36.053070117203895,RPG,anxiety,
A0067,13.0,11.500515986290466,Action,anxiety,
A0068,23.0,27.189376259561072,Casual,anxiety,
A0069,36.0,16.269770575210092,RPG,anxiety,
A0070,32.0,7.271075347203865,Casual,anxiety,
A0071,32.0,16.26664161952864,Strategy,anxiety,
A0072,34.0,41.697002893857146,Action,anxiety,
A0073,25.0,11.83828970833114,Strategy,anxiety,
A0074,26.0,42.594065014078815,Strategy,anxiety,
A0075,20.0,1.4981094053814767,Action,anxiety,
A0076,22.0,23.51226038234811,RPG,anxiety,
A0077,29.0,13.061090957057404,Action,anxiety,
A0078,34.0,9.590702308434455,Strategy,anxiety,
A0079,23.0,13.110436877745215,Strategy,anxiety,
A0080,21.0,2.484185572283597,RPG,anxiety,
A0081,25.0,10.219140584771084,Action,anxiety,
A0082,29.0,16.211000535772925,Strategy,anxiety,
A0083,13.0,39.73829116386898,Casual,anxiety,
A0084,13.0,8.047679792736968,Strategy,anxiety,
A0085,20.0,6.380236194069397,Strategy,anxiety,
A0086,15.0,8.15469932302251,RPG,anxiety,
A0087,20.0,25.33841678772865,Casual,anxiety,
A0088,23.0,15.847327715657393,Strategy,anxiety,
A0089,21.0,7.974044559053435,Strategy,anxiety,
A0090,36.0,18.368072119403205,Casual,anxiety,
A0091,27.0,13.166319811721715,Action,anxiety,
A0092,27.0,26.44100414265558,Action,anxiety,
A0093,29.0,6.947330776687293,Strategy,anxiety,
A0094,15.0,9.373347435031196,Strategy,anxiety,
A0095,33.0,8.90233389269084,Action,anxiety,
A0096,24.0,3.777974583269319,RPG,anxiety,
A0097,30.0,15.438991446670869,Casual,anxiety,
A0098,16.0,15.011914979345468,Casual,anxiety,
A0099,13.0,12.23243175669767,RPG,anxiety,
A0100,31.0,10.097928393954058,RPG,anxiety,
A0101,28.0,3.9263231643439247,RPG,anxiety,
A0102,17.0,8.70139834267152,RPG,anxiety,
A0103,18.0,9.261151442578416,RPG,anxiety,
A0104,34.0,6.412044562755907,RPG,anxiety,
A0105,15.0,10.707789108114062,Casual,anxiety,
A0106,38.0,16.83130735887462,RPG,anxiety,
A0107,17.0,55.08892627792625,Action,anxiety,
A0108,30.0,14.008471451122505,RPG,anxiety,
A0109,22.0,14.969881949241184,RPG,anxiety,
A0110,29.0,11.478127494898963,Casual,anxiety,
A0111,20.0,2.624743108328575,Casual,anxiety,
A0112,23.0,11.9268111021958,RPG,anxiety,
A0113,25.0,12.783869334494856,Casual,anxiety,
A0114,16.0,87.4086012235618,Strategy,anxiety,
A0115,30.0,10.444872918197946,Casual,anxiety,
A0116,20.0,15.50616790096434,Casual,anxiety,
A0117,23.0,11.848847248430454,Casual,anxiety,
A0118,17.0,4.782950281959729,Casual,anxiety,
A0119,13.0,30.39439606985233,Action,anxiety,
A0120,23.0,22.23230532991996,Action,anxiety,
A0121,44.0,22.938702686392435,Action,anxiety,
A0122,31.0,5.885490214150858,RPG,anxiety,
A0123,24.0,37.42112740311093,RPG,anxiety,
A0124,22.0,3.9690197496552018,Strategy,anxiety,
A0125,25.0,19.48189699292719,Action,anxiety,
A0126,29.0,70.27137276904998,RPG,anxiety,
A0127,15.0,5.515547596036945,Casual,anxiety,
A0128,33.0,7.744336610679678,Casual,anxiety,
A0129,30.0,13.193457886426366,Action,anxiety,
A0130,30.0,8.143495225268339,Strategy,anxiety,
A0131,28.0,3.5235508845069687,Strategy,anxiety,
A0132,25.0,12.869373995732545,Casual,anxiety,
A0133,30.0,5.207797538315177,Strategy,anxiety,
A0134,29.0,17.79422460948461,Action,anxiety,
A0135,22.0,5.838422337252672,Casual,anxiety,
A0136,20.0,42.09578108941792,RPG,anxiety,
A0137,25.0,6.510377004433607,RPG,anxiety,
A0138,37.0,9.415438983915244,Strategy,anxiety,
A0139,15.0,23.35506259012144,Casual,anxiety,
A0140,13.0,4.550825052993917,Casual,anxiety,
A0141,26.0,14.613824257685565,RPG,anxiety,
A0142,25.0,34.66443396092799,Casual,anxiety,
A0143,26.0,3.366970613531634,Casual,anxiety,
A0144,26.0,14.12162184235813,Casual,anxiety,
A0145,23.0,14.997840669886395,Strategy,anxiety,
A0146,36.0,22.770328285339467,Casual,anxiety,
A0147,13.0,4.528720418620366,Action,anxiety,
A0148,18.0,4.236064734171548,Strategy,anxiety,
A0149,24.0,18.495977065039902,Casual,anxiety,
A0150,13.0,15.449671462994315,Casual,anxiety,
A0151,23.0,14.885599666345332,Action,anxiety,
A0152,38.0,16.073284848400032,Strategy,anxiety,
A0153,25.0,7.070846632487164,RPG,anxiety,
A0154,26.0,14.66997602298889,RPG,anxiety,
A0155,14.0,15.4013932890021,Strategy,anxiety,
A0156,20.0,6.879313504051575,Casual,anxiety,
A0157,21.0,54.19667766731485,Casual,anxiety,
A0158,22.0,17.797648409228927,RPG,anxiety,
A0159,35.0,4.697155920409519,RPG,anxiety,
A0160,29.0,20.59900733281544,RPG,anxiety,
A0161,16.0,5.585950822721223,Action,anxiety,
A0162,26.0,22.86637939294249,RPG,anxiety,
A0163,28.0,30.780348886973236,Action,anxiety,
A0164,34.0,6.3183250248469935,Strategy,anxiety,
A0165,37.0,26.32978751478841,Casual,anxiety,
A0166,16.0,16.949269601637813,RPG,anxiety,
A0167,18.0,23.515226041342043,Casual,anxiety,
A0168,14.0,55.558381462824094,Casual,anxiety,
A0169,23.0,10.011050242936014,RPG,anxiety,
A0170,28.0,6.665940597061998,RPG,anxiety,
A0171,32.0,5.979807975338637,Strategy,anxiety,
A0172,24.0,6.342999552031281,Action,anxiety,
A0173,22.0,11.453766552644236,Action,anxiety,
A0174,26.0,16.005326608268415,Casual,anxiety,
A0175,18.0,15.200869641375675,RPG,anxiety,
A0176,41.0,23.61180028701568,Strategy,anxiety,
A0177,13.0,12.309871648065553,Strategy,anxiety,
A0178,26.0,38.971369522426926,Strategy,anxiety,
A0179,41.0,9.85791349767606,Strategy,anxiety,
A0180,25.0,107.35438092984022,Strategy,anxiety,
A0181,23.0,20.096263016686425,Action,anxiety,
A0182,22.0,6.136619097191269,Action,anxiety,
A0183,23.0,5.172137270019443,Action,anxiety,
A0184,35.0,17.921084634511157,RPG,anxiety,
A0185,13.0,10.18819576045077,Casual,anxiety,
A0186,37.0,21.567776999761037,Strategy,anxiety,
A0187,13.0,17.789174527235577,RPG,anxiety,
A0188,22.0,11.49298523711169,Strategy,anxiety,
A0189,21.0,6.187709745267183,Action,anxiety,
A0190,29.0,3.625971383425944,RPG,anxiety,
A0191,13.0,8.523167451374373,Action,anxiety,
A0192,28.0,24.17016534133317,Strategy,anxiety,
A0193,41.0,14.458391827606723,Strategy,anxiety,
A0194,14.0,4.49699311618582,Casual,anxiety,
A0195,26.0,13.992825593837308,Strategy,anxiety,
A0196,19.0,16.580941009281563,Action,anxiety,
A0197,28.0,6.006931491583276,Strategy,anxiety,
A0198,25.0,13.776718259014547,Casual,anxiety,
A0199,19.0,12.763212055895597,Casual,anxiety,
A0200,28.0,4.882335843182581,Action,anxiety,
A0201,39.0,16.219754100035832,RPG,anxiety,
A0202,23.0,19.079751104443865,Strategy,anxiety,
A0203,30.0,28.97522036482289,Casual,anxiety,
A0204,14.0,28.305089844155447,Strategy,anxiety,
A0205,17.0,4.046549350122912,Strategy,anxiety,
A0206,28.0,5.753106490089919,RPG,anxiety,
A0207,36.0,18.39406786085963,Casual,anxiety,
A0208,27.0,18.375693037786277,Strategy,anxiety,
A0209,22.0,18.394250611943573,Casual,anxiety,
A0210,24.0,168.0,Action,anxiety,
A0211,14.0,19.234632083176248,Action,anxiety,
A0212,29.0,30.21844538115134,Strategy,anxiety,
A0213,32.0,26.13306604574512,Casual,anxiety,
A0214,21.0,20.514111209965765,Strategy,anxiety,
A0215,21.0,9.466740012683571,Casual,anxiety,
A0216,27.0,22.35780274845432,Casual,anxiety,
A0217,21.0,6.564916760366391,RPG,anxiety,
A0218,24.0,10.079917868139493,RPG,anxiety,
A0219,41.0,8.262350917413,RPG,anxiety,
A0220,23.0,13.007151368899668,Strategy,anxiety,
A0221,22.0,77.61237245543185,RPG,anxiety,
A0222,19.0,2.735154285845612,RPG,anxiety,
A0223,30.0,21.09441159953445,Action,anxiety,
A0224,23.0,3.3529055659765663,Casual,anxiety,
A0225,19.0,8.35161144249633,Casual,anxiety,
A0226,35.0,29.112291624051203,RPG,anxiety,
A0227,36.0,12.82535428550897,Casual,anxiety,
A0228,20.0,5.143862094918618,Action,anxiety,
A0229,13.0,6.874074611930894,Action,anxiety,
A0230,33.0,20.982278471562207,RPG,anxiety,
A0231,19.0,6.791736785332718,Action,anxiety,
A0232,31.0,14.485771208364753,Casual,anxiety,
A0233,13.0,12.634832348344636,Strategy,anxiety,
A0234,32.0,7.2334761933453455,Casual,anxiety,
A0235,15.0,67.704677658987,Strategy,anxiety,
A0236,30.0,20.229364113824357,RPG,anxiety,
A0237,25.0,2.410624712396928,Strategy,anxiety,
A0238,17.0,14.142203061252696,Action,anxiety,
A0239,21.0,7.174770881079964,Casual,anxiety,
A0240,30.0,24.09361018614233,Strategy,anxiety,
A0241,25.0,6.462287835854929,Casual,anxiety,
A0242,29.0,11.114058592815152,RPG,anxiety,
A0243,40.0,18.24680184285219,RPG,anxiety,
A0244,13.0,24.3517607100666,Action,anxiety,
A0245,37.0,4.663484308144483,RPG,anxiety,
A0246,25.0,9.322203346515352,Strategy,anxiety,
A0247,17.0,8.331501991851049,RPG,anxiety,
A0248,14.0,7.223478430326983,Action,anxiety,
A0249,23.0,50.01702223674454,Casual,anxiety,
A0250,32.0,16.843846020757038,Casual,anxiety,
A0251,23.0,4.4428356679240375,RPG,anxiety,
A0252,37.0,25.388328426359664,Strategy,anxiety,
A0253,13.0,66.53478925833292,Action,anxiety,
A0254,24.0,27.826038205715044,Strategy,anxiety,
A0255,14.0,3.612875624873371,Action,anxiety,
A0256,27.0,8.269819986151687,RPG,anxiety,
A0257,32.0,33.56651253871857,Action,anxiety,
A0258,21.0,6.916185764068839,Action,anxiety,
A0259,13.0,17.375402254430245,RPG,anxiety,
A0260,26.0,22.6397507215805,Strategy,anxiety,
A0261,28.0,5.803467726309688,RPG,anxiety,
A0262,28.0,11.615956522184645,Action,anxiety,
A0263,34.0,0.9111808602572252,RPG,anxiety,
A0264,16.0,5.368185130821098,Action,anxiety,
A0265,30.0,9.953711322748497,RPG,anxiety,
A0266,34.0,4.489644193604608,Casual,anxiety,
A0267,13.0,44.9670070026548,Casual,anxiety,
A0268,27.0,3.8802007719000144,RPG,anxiety,
A0269,20.0,8.567400924938656,Strategy,anxiety,
A0270,24.0,13.52571193546478,Action,anxiety,
A0271,27.0,38.590982348095984,Casual,anxiety,
A0272,21.0,3.862483147302624,Strategy,anxiety,
A0273,19.0,30.89304265401085,Action,anxiety,
A0274,25.0,12.282634663059037,Casual,anxiety,
A0275,16.0,5.555525839355656,Casual,anxiety,
A0276,16.0,17.631424261832066,RPG,anxiety,
A0277,30.0,14.285538851448612,Action,anxiety,
A0278,15.0,7.537017134722943,Strategy,anxiety,
A0279,30.0,12.882137578785429,Strategy,anxiety,
A0280,28.0,8.950855573394831,Strategy,anxiety,
A0281,13.0,13.3406248030498,Action,anxiety,
A0282,19.0,20.691118280430747,Strategy,anxiety,
A0283,34.0,43.32862287162086,Strategy,anxiety,
A0284,17.0,4.525588395886408,Strategy,anxiety,
A0285,21.0,67.1162841762936,RPG,anxiety,
A0286,28.0,2.5557092047464045,RPG,anxiety,
A0287,31.0,10.789483653684131,Action,anxiety,
A0288,22.0,19.504666900921755,Action,anxiety,
A0289,20.0,15.253263713993208,Strategy,anxiety,
A0290,36.0,7.402667321708243,RPG,anxiety,
A0291,38.0,10.314000042136945,Casual,anxiety,
A0292,32.0,8.21202260862174,Casual,anxiety,
A0293,25.0,7.60273609075232,Strategy,anxiety,
A0294,18.0,24.03910015035522,Strategy,anxiety,
A0295,18.0,16.20974150158753,RPG,anxiety,
A0296,29.0,6.998335421100447,RPG,anxiety,
A0297,28.0,25.02010997084372,RPG,anxiety,
A0298,36.0,15.577687729712466,Action,anxiety,
A0299,30.0,23.342825903145844,Action,anxiety,
A0300,13.0,20.160053027637897,Strategy,anxiety,
A0301,33.0,6.276446593402205,Action,anxiety,
A0302,17.0,7.782325242101865,RPG,anxiety,
A0303,21.0,22.149942135580933,RPG,anxiety,
A0304,27.0,19.851830357872384,Action,anxiety,
A0305,40.0,11.980480792701265,Casual,anxiety,
A0306,49.0,13.381349467097149,Strategy,anxiety,
A0307,29.0,33.85653087961212,Casual,anxiety,
A0308,23.0,7.589326778064291,Strategy,anxiety,
A0309,29.0,18.87197287775964,Casual,anxiety,
A0310,32.0,10.36304256974532,Action,anxiety,
A0311,22.0,10.235428019300835,Strategy,anxiety,
A0312,39.0,29.34204532967803,Strategy,anxiety,
A0313,26.0,23.578448111704716,Strategy,anxiety,
A0314,28.0,23.35492093987241,RPG,anxiety,
A0315,30.0,34.61832083139189,RPG,anxiety,
A0316,28.0,12.388926795753685,Casual,anxiety,
A0317,31.0,21.021850084975497,Action,anxiety,
A0318,20.0,9.504701726230053,RPG,anxiety,
A0319,20.0,15.789309261398104,Strategy,anxiety,
A0320,16.0,10.977915320185978,RPG,anxiety,
A0321,28.0,13.165460507193302,Action,anxiety,
A0322,31.0,19.611686143056797,RPG,anxiety,
A0323,28.0,6.33078001329224,Strategy,anxiety,
A0324,38.0,64.96897319987964,Casual,anxiety,
A0325,24.0,5.447659652023661,Strategy,anxiety,
A0326,30.0,4.61194238431805,Action,anxiety,
A0327,16.0,30.76841567706118,Casual,anxiety,
A0328,21.0,22.950280420047257,RPG,anxiety,
A0329,30.0,20.07139874376713,RPG,anxiety,
A0330,31.0,20.139366005216186,RPG,anxiety,
A0331,22.0,12.06371976204657,Casual,anxiety,
A0332,24.0,5.942895680030135,Strategy,anxiety,
A0333,13.0,12.944146089900013,Casual,anxiety,
A0334,22.0,7.087060317445732,Casual,anxiety,
A0335,32.0,26.57831842827131,Action,anxiety,
A0336,29.0,10.83036859216803,Casual,anxiety,
A0337,29.0,6.294034264149508,RPG,anxiety,
A0338,25.0,9.420529777698224,Strategy,anxiety,
A0339,25.0,16.951310787299658,Strategy,anxiety,
A0340,19.0,7.760295068448477,Strategy,anxiety,
A0341,30.0,6.310555348567376,RPG,anxiety,
A0342,28.0,14.804775078818382,RPG,anxiety,
A0343,28.0,14.81993534076319,RPG,anxiety,
A0344,20.0,8.120936334880877,RPG,anxiety,
A0345,13.0,8.357583710754112,RPG,anxiety,
A0346,33.0,14.667584896736471,Casual,anxiety,
A0347,21.0,3.8249007789648553,RPG,anxiety,
A0348,18.0,3.951238130269476,RPG,anxiety,
